". tabdisp rank which_category, cell(bea_sum num_workers) cellwidth(20) "
"","","","","","","","","","","which_category","","","","","","","","","","","","",""
"rank","businessservs","","clothingperscare","","education","","exports","","food","","gov","","heath","","housing","","investment","","recreatnleisure","","transportation",""
"1","52A0","3855636","4A00","8558629","6100","2.83e+07","4200","1794717","7220","2.02e+07","S007","1.09e+07","6210","1.88e+07","4A00","6947562","2301","6290840","6240","7999165","4A00","5355128"
"2","7130","3171153","8120","682977.3","S007","7200916","4840","957452.4","4A00","1.05e+07","S006","5830862","6220","1.66e+07","5310","5015792","2302","5097085","4A00","7391950","8120","2105043"
"3","5411","1917564","3150","664023.1","561A","996089.7","52A0","952708.9","3110","3454069","S005","2576014","6230","6885075","7210","2525717","4A00","4004878","8120","2696992","813A","1565821"
"4","5240","1666451","813A","507656.9","6240","935127.6","561A","942150.8","1120","1970093","2301","2415783","S007","5056513","2301","2325006","2303","3591396","813A","1979597","4200","1281710"
"5","5230","1419037","4200","493033.6","7220","423887.6","3364","707628.9","4200","1929164","2302","1723531","4A00","3798389","561A","2101823","5415","2472199","6100","1882415","8111","1255343"
"6","5250","860068.4","8111","408698.1","2303","396036.3","4A00","562732.1","1110","1485625","2303","1657808","5240","2427708","2303","1958131","4200","2086811","8111","1586240","5240","989094.6"
"7","561A","660566.4","561A","342930.7","4200","361582.3","3399","510725.6","4840","1073868","561A","1420818","561A","1698525","52A0","1120413","561A","1411428","71A0","1510406","4850","977338.2"
"8","5170","382906.5","7130","307809.2","4A00","360812.3","48A0","446675.7","561A","929727.7","4A00","1168824","4200","1234107","2211","1024078","5413","1282558","5170","1463065","8140","843242.9"
"9","7220","377909.3","8140","272162.3","5310","357651.3","5415","442136.5","52A0","551480.5","5415","1013752","7220","807259.4","4200","869833.1","4840","1007560","561A","1292980","561A","839591.8"
"10","4A00","293030.2","52A0","172195","2301","311502.2","336B","428291.7","3121","523339","4200","872419.6","3254","802297.7","S002","774152.5","2130","993405.8","8140","1068100","336A","520556"
"11","2301","272511.7","4840","167849.2","52A0","302131.2","1110","425671.8","2301","489811.9","5413","844356.3","52A0","661445.5","4840","734679.1","3399","725030.5","4200","1014234","52A0","520241.2"
"12","2303","271081.8","2301","165847","5413","250186.3","2303","425053.2","2303","480645","3364","547492.3","5416","606699","7220","669571.5","52A0","724842.1","3399","936638.5","2303","444369.6"
"13","4850","228603.1","811A","146350.3","3110","245963.2","7220","421191.3","S001","339135.6","7220","483722.3","3391","593441.3","5240","616452.3","7220","596428.1","7130","905484.1","811A","439347.5"
"14","5412","227676.3","2303","144351.2","5412","227698.8","5411","401440.6","71A0","314986","5417","458755.5","5613","576900.6","5413","612011.8","3270","547486.9","S007","831694.3","4840","420623.9"
"15","5416","201716.4","7220","112406.9","5415","227292.5","4810","393087.5","5240","296819.3","4840","449818.1","2303","576713.7","S001","576209.8","336A","527778.4","52A0","620894.3","4810","351923.4"
"16","4200","178826.5","3399","106540.7","5416","217330.5","2301","391251.8","5412","288886.4","52A0","391353","2301","526614.2","5620","560788","5310","524178","811A","568409.9","3361","346975.6"
"17","5415","176327.1","5240","97241.97","3230","205231.9","4920","381154.2","5310","281238.1","5416","374641.6","5310","524715.8","3370","500918.3","5412","519036.8","6220","555967.3","2301","311263.5"
"18","71A0","160857.8","3130","93768.08","5411","195268.5","5240","369105.4","4920","247512.7","5411","326048.4","5412","497677.3","2213","488633.3","332B","518276.2","5120","543995.6","7220","291924.8"
"19","7210","156540.4","813B","90549.56","3399","189513.2","5230","361308.8","5411","238763.5","5170","296743.4","5411","469860.8","S007","435124.6","3210","493786.1","5111","518578.7","813B","277838.1"
"20","3230","145770.1","7210","90028.49","4840","184069.9","1120","356392.9","5413","237546","6100","292596.8","4840","396869.2","5411","431917.1","3370","480455.3","2303","506955.5","48A0","241043.8"
"21","S002","141514.4","4920","89506.55","S001","177511.6","332B","346117.9","5416","222698","5412","290521.4","5415","327660.4","5613","388044.7","5111","475180","2301","500629.8","5412","199437.8"
"22","5613","141182.4","S001","80201.82","5170","176713.3","3110","319753","48A0","220941.3","5613","232935.6","S001","298169.2","8120","386097.2","5411","470430.4","7220","498931","5613","197688.8"
"23","5310","135973.7","5412","78227.77","5240","166998.2","5413","306602.3","3260","211253.5","3370","223016.8","3399","294693.4","5412","308257.6","5416","453583.9","5413","461726.7","4920","194378.2"
"24","S007","133397.7","5310","78078.01","8120","157751.1","5416","304316.8","3399","194450.2","3399","220423.5","5170","279122.3","3210","280647.4","3361","373952.6","5412","447275.2","3240","193368.6"
"25","S001","123850.3","5411","71269.46","4850","155438.6","5412","300608.6","5415","194408.7","7210","214350.3","3110","271266.9","8111","263701.5","3260","359829.7","4810","432697","5411","190234.3"
"26","5413","121183","5416","70879.34","2213","155199.5","336A","283955.2","5613","183474.5","3270","208419.4","3230","269776.6","813A","246333.5","5170","357346.8","4840","420408.4","3260","187689.7"
"27","4920","112113","3160","70420.67","5613","154254.3","3260","281535.3","3230","174931.5","3230","198376.1","5413","261072.5","3399","243063.3","5613","341890.9","5416","407122.3","5415","187139.4"
"28","5418","105501.3","4930","70416.03","5417","142590.5","5120","235793.9","1150","170965","332B","196810.3","3251","221862","5416","242610.9","3331","315065.9","3391","363664.3","5413","185617.8"
"29","5111","101060.1","5613","67303.49","7210","142234.9","3254","226377.8","5418","168797.6","5240","194778.5","7210","215057.9","5415","240683.8","5419","309045.9","813B","357329.4","332B","184865.4"
"30","5151","98357.51","3230","66634.86","5111","140708.6","5170","211644","S007","167412.6","5419","194276.1","4920","203988.5","71A0","214448.2","3323","307510","5613","332576.3","5416","179036.7"
"31","5419","92980.45","5413","65634.91","71A0","137108.1","5613","207010.2","4930","165004.8","3210","189130.3","71A0","198366.3","3260","214231.1","5240","276160.7","7210","322278.3","3399","158338"
"32","48A0","90719.86","71A0","63892.93","5419","133226.9","3361","206699","2211","163405.8","336B","187382.6","3260","186438.4","48A0","204304.5","7210","252576","5190","322223","S001","142594.5"
"33","3399","81261.66","48A0","59963.8","S002","129052.8","532A","203919.9","5419","154994.4","332A","187088.1","4850","185376.3","5170","203660.4","4920","248626.4","5240","312248.8","71A0","138604.8"
"34","4840","80503.2","5418","59795.08","4920","125699.6","71A0","199169.6","3222","154093.5","4850","182239.3","8120","184326.2","4920","201472","3332","246592.9","48A0","294259.2","S002","135480.2"
"35","3341","70642.79","5415","53488.25","2211","124977.3","5111","191922.5","5170","153160.3","71A0","169894.5","5230","163180.2","5419","200167","3391","240960.6","3230","285952.3","5310","132892"
"36","5615","52859.5","3254","53157.36","811A","99103.35","3230","184631.3","5111","141087.8","3260","163779.8","5418","162897.5","332B","189540.6","48A0","239158.9","S002","282769.2","3230","129455.7"
"37","8111","50699.38","5111","52493.27","5620","96933.44","5419","182364.4","5151","140042.5","3341","160517.8","5419","160930.1","3270","181469.5","331A","237543.3","5415","271106.5","5230","123816.8"
"38","8120","50173.22","5170","49495.38","1120","92412.32","3391","182073.2","332B","139398.6","48A0","154597.6","48A0","157341.6","3230","178131.7","3339","232900","5419","269217.1","5170","118513.4"
"39","813B","49072.03","5151","47014.77","5418","88090.76","331A","181854.5","7210","138393.2","5111","153615.4","3256","157303.4","2212","169043.9","3364","232468.5","5411","263884.5","532A","111353.6"
"40","811A","49006.01","S007","46853.47","8111","84754.5","S001","179154.5","3270","125479.5","5310","144788","5111","156903.6","811A","153674.1","3230","230150.6","5310","262620.7","5419","104295.1"
"41","5120","44434.26","5414","43271.28","48A0","78197.21","3332","169846.6","4820","118669.3","S001","140274.1","2211","148015.1","5418","139712.7","71A0","230106","4920","242183.8","4930","97621.97"
"42","6100","42024.01","5419","42963.94","5120","76598.25","5417","165750.7","5120","106206.2","811A","137736.2","5417","147133.1","4850","138262.9","5414","228377.8","6230","230318.3","2130","96804.17"
"43","4810","41915.61","332B","38809.19","5414","75127.45","3251","165398.1","3361","103845.7","336A","137625.4","811A","136362.1","3130","135273","5418","209266.9","S001","222122.3","S007","96095.93"
"44","3370","41526.94","3260","38265.51","1110","74860.55","3331","159024.4","336A","99975.43","4920","129735.1","5151","131698","3140","132989.1","S001","206790","5151","218796.6","7210","92556.94"
"45","5414","39397.73","2211","36800.67","5151","72236.17","5418","156557.5","3370","95270.59","3361","125494.4","8111","123391.7","4820","126590.4","S007","206431.5","5418","215399.2","5418","92224.07"
"46","5152","38962.48","3251","36240.89","5230","66659.57","3270","154884.5","3122","93637.99","4810","121821.9","6240","121406.8","8140","126548.3","5417","196346.6","3364","187791.5","5321","86407.29"
