. table bea67 occ21 [pw = perwt], cellwidth(10)

---------------------------------------------------------------------------------------------------------------------------------------------
        |                                                                occ21                                                               
  bea67 |   Military MGRS & SAL LAWYERS &  HEALTH DIA ACCT & OTH SALES REP  SCI PROF & OTHER BUS    TEACHERS ARTS & LET MGRS & SAL B_C SUP & 
--------+------------------------------------------------------------------------------------------------------------------------------------
      0 |    3271065                                                                                                                         
      1 |              50,526.6              18,316.9   1,439.48              6,315.31              11,388.8   4,174.67   44,662.5   3,652.34
      2 |               170,384              29,944.8   28,078.6   45,641.7   13,415.2              17,384.9   5,042.92     60,069   14,387.9
      3 |                16,560                         1,375.92              79,718.8                                    33,760.2   1,236.99
      4 |              11,896.5              6,819.62                          1,219.9              1,155.66                11,187   1,358.31
      5 |              22,982.7                         1,384.29     11,854   7,843.29                         1,215.23   1,335.27   31,738.9
      6 |              29,385.9                                    9,450.33    1,263.4                                               22,043.9
      7 |              10,437.8                                    11,600.3   3,909.98                         1,202.14   2,400.13   26,203.1
      8 |              63,256.8   2,424.17              17,575.4   2,514.13   66,967.7                         3,666.98   9,314.49   20,307.5
      9 |              30,654.9      1,273              13,014.7   40,749.4   3,756.49                                    3,810.89   13,934.1
     10 |              15,089.2                          1,384.9              3,934.07                                    5,367.43   10,000.2
     11 |               855,972   1,330.34              42,450.5   4,801.66    127,029               1,264.4   6,469.32    621,380    171,358
     12 |               911,376   1,345.54              38,240.3   3,790.37    114,767                         5,823.56    623,757    178,480
     13 |              37,461.8   1,290.66              12,239.5   3,724.38   17,076.4                         10,489.6      2,593   28,598.8
     14 |               540,649              1,320.54    100,279    256,293   64,178.6              1,582.66   20,491.1    149,882    277,989
     15 |              10,891.7                         1,168.55   3,967.59              2,647.63                                     9,862.9
     16 |                80,515                         18,692.4   23,937.2   13,303.6   1,141.81                17,880   4,965.87    142,242
     17 |              30,465.1                         4,227.36   9,191.53   4,945.36                         1,231.68              41,099.1
     18 |               345,706                         43,518.1    252,810   8,047.89              3,762.23   24,606.7   18,225.5    149,218
     19 |              32,976.4                         1,297.44   5,668.82                         1,329.03   9,394.03   13,669.3   7,898.31
     20 |               161,555                         13,566.4   25,798.4   8,992.42                                     110,128   52,130.5
     21 |              22,104.7                         2,464.82   6,581.44   2,541.17                                    1,216.79   25,191.8
     22 |              90,462.5                         6,134.69   81,131.6    1,408.5                         1,543.91   5,264.83   6,531.03
     23 |              87,628.4                         13,128.2   30,460.5   21,414.2              1,399.71              3,864.54   56,863.4
     24 |               120,168    1,141.6              18,477.5   61,716.1   35,560.7                         10,464.8   1,387.44   94,036.6
     25 |              63,431.1                         28,758.6   81,239.6   2,466.61   1,324.68              3,796.35   2,674.54   47,870.4
     26 |               417,548                         20,145.4    188,605   10,260.5                          324,670   37,251.4    134,627
     27 |               238,813   1,177.69    1,135.8   75,161.6    182,845    195,920   1,310.15              17,974.7    2,871.9    144,190
     28 |              38,933.8                         6,577.06   16,982.2     33,586   1,276.15              1,174.59              15,931.3
     29 |              95,187.8              2,620.33   30,864.7    149,400   35,270.9   1,255.51   1,235.96   8,731.09              36,128.6
     30 |              31,260.8                          5,043.2   17,899.5   6,414.41                                               11,508.2
     31 |               138,924   1,374.84              42,208.5    101,194   40,563.7                         10,431.2   5,113.97   39,048.4
     32 |               139,213                         30,933.1   33,067.9   39,487.7   1,374.67              1,351.75   5,004.65   88,034.3
     33 |              8,871.57                         1,093.79    4,890.1   1,242.92                                               3,512.74
     34 |              49,499.1                         1,319.78   15,491.1   2,946.23              1,214.85   2,573.65   5,882.28   31,377.8
     35 |              34,263.7                         13,878.8   10,126.2   19,760.2   1,319.62              11,661.2   1,182.03     36,301
     36 |               119,090                         7,539.92   43,280.9   24,702.4    1,415.2              2,653.33   1,202.25   48,170.3
     37 |              85,069.8                         26,573.6   18,546.8   54,043.9   2,378.49              8,406.53   1,201.45    142,044
