. table bea67 age_r [pw = perwt] if sex == 1, cellwidth(10)

----------------------------------------------------------------------
          |                    RECODE of age (Age)                    
    bea67 | 0-18 years  19-25 year  26-39 year  40-59 year  60-99 year
----------+-----------------------------------------------------------
        0 |   45,469.7     1285953     1535271     393,736    1,275.76
        1 |    301,695     281,842     609,266     1400185     938,947
        2 |    396,760     440,457     1050901     2045862     1210840
        3 |   17,875.4    32,805.7    77,334.4      87,876      32,999
        4 |   40,530.1    35,136.2     113,528     189,571     117,362
        5 |   1,170.37    41,037.3    70,291.8     130,118    12,899.2
        6 |   3,718.36    20,958.6    61,138.5     158,137    20,706.2
        7 |   1,196.07    35,126.4    58,735.3     159,638      24,654
        8 |   9,781.32    52,985.1     170,697     218,431    29,565.3
        9 |   3,189.44      39,591    80,842.5     108,249    13,587.7
       10 |   1,201.66    6,609.14      39,403    68,768.4    17,194.7
       11 |    205,532     993,764     2126148     3022986     650,138
       12 |    205,308     972,994     2224230     2958016     651,795
       13 |   10,443.9    58,670.2     152,547     180,011    31,159.2
       14 |    283,683     730,236     1454800     1980731     365,309
       15 |   8,504.75    13,888.6      37,282    38,014.7    8,193.39
       16 |   93,374.4     231,710     377,874     497,447     135,739
       17 |   15,295.1    82,255.4     104,434     185,493    48,482.8
       18 |   98,690.4     307,215     536,093     754,174     240,247
       19 |     10,285    31,655.7    49,839.2    48,434.9    21,031.9
       20 |   50,790.1     276,597     501,932     709,261     170,951
       21 |   16,775.5    49,120.5    74,816.3     129,146    40,581.1
       22 |   16,751.7    35,765.5     121,567     154,218    35,653.1
       23 |   44,784.9     204,384     338,927     417,374    93,160.5
       24 |     24,523     206,482     460,765     543,296    85,089.7
       25 |   20,897.1     124,525     263,835     266,107    30,786.3
       26 |    584,774     366,718     719,419     868,604     263,809
       27 |   37,037.6     252,020     824,799     887,007     110,724
       28 |               24,295.3    81,681.2     108,347    10,734.9
       29 |   14,295.6      94,421     199,258     282,218    59,703.1
       30 |   2,364.75    19,464.1    80,720.9    59,926.6      15,818
       31 |   17,183.2    86,811.5     258,615     394,321    95,884.2
       32 |   24,078.9     219,736     368,891     462,872      71,976
       33 |   2,293.73      17,859    17,466.7    51,552.4    10,244.9
       34 |   27,948.6    71,507.2     100,901     140,541    51,150.1
       35 |   4,016.14    59,375.1     197,825     167,405    23,799.1
       36 |   28,842.5     208,535     352,066     515,286    85,441.4
       37 |   31,521.2     367,566     716,932     1245171     200,913
       38 |     16,132     173,530     349,019     501,365    91,811.7
       39 |   19,221.1     196,545     377,264     518,631      72,727
       40 |   38,172.9     220,420     413,306     527,569      96,923
       41 |   11,510.1    79,184.9     195,521     296,187    38,714.3
       42 |   9,179.98    47,498.7     111,971     157,795    34,767.6
       43 |   6,130.55    40,506.5    74,584.1     123,428    21,674.8
       44 |   30,470.2     123,567     281,843     359,206    60,162.9
       45 |   10,649.3    67,690.5     149,143     187,482    29,295.4
       46 |     12,357    58,734.5     155,868     221,377    47,492.2
       47 |   26,257.6     141,854     258,559     392,037    62,025.4
       48 |   3,792.28      11,422    43,646.1    49,805.4    13,914.9
       49 |   6,015.03    14,887.7    45,355.5    61,761.3    16,251.2
       50 |   23,037.6     268,716     569,536     654,407     105,503
       51 |   13,248.9     167,600     451,295     267,293      30,233
       52 |   11,787.8    49,554.1    89,164.4     141,130    46,195.4
       53 |   24,066.5     177,056     357,389     453,803    93,858.5
       54 |   26,812.2     186,090     430,239     459,262    70,226.5
       55 |   6,742.03     8,737.9    22,776.6    65,624.7    10,597.2
       56 |     15,264     270,612     586,623     621,925    89,083.2
       57 |               6,567.07    20,085.8    11,510.4     1,277.7
       58 |     32,329     592,777     1095683     1224340     136,394
       59 |   15,606.4     304,845     693,254     867,977     102,614
       60 |   11,784.5     137,031     225,695     327,792    61,490.2
       61 |     26,768     335,547     572,816     707,947     116,902
       62 |    2,489.5    43,104.9     104,522     102,624    17,773.9
       63 |   2,772.56    47,308.7     108,749     137,237    22,302.8
       64 |   62,658.9     308,891     639,371     1528028     419,502
       65 |    184,010     974,063     2594078     3902563     516,156
       66 |   7,889.21     141,050     257,668     369,042      79,273
       67 |   18,783.7     279,231     456,569     441,501    37,922.2
       68 |   66,076.3     357,904     790,196     1212274     237,978
       69 |    3505752     3614628     4813961     6726318     2133230
       70 |     80,647     545,411     1461531     1866855     811,546
       71 |   7,816.73    34,752.9    93,825.2     104,190    33,277.2
       72 |    696,555     618,629     1028856     1583284     805,334
       73 |    353,698     1349265     2741951     2853627     807,331
       74 |    116,890     107,053     107,519     150,175    83,763.5
       75 |    156,579     373,217     581,591     759,745     202,661
       76 |    215,779     228,200     363,708     613,502     292,505
       78 |   52,668.4     273,098     1000501     1455425     311,375
       79 |   35,888.7     286,189     940,299     1498247     333,126
      110 |    190,076     551,684     943,751     981,395     296,412
      111 |    149,237     437,601     1162880     1367147     478,008
----------------------------------------------------------------------
