". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"0","46,639.7","1287123","1538781","397,246","1,275.76"
"1","360,401","323,231","691,751","1545707","986,622"
"2","456,299","534,933","1164778","2244254","1293043"
"3","17,875.4","39,315.1","82,211.5","98,927","35,946"
"4","51,240.5","41,001.9","120,715","207,538","127,250"
"5","2,379.86","47,359.8","73,957","142,010","15,447.5"
"6","3,718.36","25,247.3","65,977.9","163,855","23,258.8"
"7","1,196.07","43,121.6","60,012.4","164,578","27,510.4"
"8","9,781.32","67,519.2","212,781","239,296","32,324.3"
"9","7,914.42","52,496","94,671.7","127,462","17,201.6"
"10","1,201.66","9,334.67","39,403","68,768.4","18,648.6"
"11","217,247","1071220","2229217","3164020","670,596"
"12","217,645","1041767","2318965","3093647","668,104"
"13","19,543.5","90,600.8","193,039","245,406","39,211.6"
"14","351,397","1037928","1871675","2737934","488,340"
"15","8,504.75","21,932.2","65,661.4","79,277.9","25,018.9"
"16","129,429","495,004","848,401","1120739","235,864"
"17","23,018.4","112,083","146,819","268,234","59,234.2"
"18","188,059","894,869","1480193","2367488","499,423"
"19","17,696","68,827.3","146,914","196,087","61,785.5"
"20","57,150.2","304,061","536,666","752,710","175,699"
"21","21,742.7","63,482.8","98,877.1","175,054","44,652"
"22","17,889.1","57,069.9","137,760","181,213","36,871.7"
"23","51,668.1","270,628","465,804","564,803","102,065"
"24","30,323.3","269,273","542,719","680,152","99,584.9"
"25","28,626.8","175,596","342,649","396,581","47,367.5"
"26","650,998","680,469","1026413","1319556","370,459"
"27","49,656.1","341,291","974,950","1037041","132,516"
"28","2,463.54","68,044.5","139,351","197,342","23,940.4"
"29","19,209.9","154,834","257,698","375,749","75,369.4"
"30","3,587.54","33,371.8","102,888","76,796.7","17,050.5"
"31","19,180.7","146,909","296,950","457,226","108,216"
"32","41,376","343,922","563,839","716,998","99,292.2"
"33","2,293.73","19,217","17,466.7","66,942.4","11,312.8"
"34","51,463.6","211,336","243,038","407,285","95,129.5"
"35","9,498.5","90,033.1","253,250","229,726","26,455.7"
"36","34,162.4","239,311","396,028","607,151","107,833"
"37","35,392.4","419,574","749,651","1295170","205,864"
"38","20,147.8","226,182","389,447","592,840","99,611.7"
"39","26,632","265,256","468,108","632,354","86,970.5"
"40","43,451.6","256,605","467,760","567,086","101,942"
"41","14,134.2","114,732","265,523","409,324","45,684.1"
"42","15,464.1","88,902.1","165,402","253,422","50,009.4"
"43","6,130.55","64,360.5","87,177.5","142,805","24,112.3"
"44","32,803.1","183,203","322,887","426,298","71,600.6"
"45","11,914.4","89,371.6","177,569","209,691","40,064.7"
"46","18,510.7","82,796.9","176,129","247,873","52,578.5"
"47","28,566.9","172,807","288,018","448,098","69,929.3"
"48","4,939.74","24,137.6","46,189.4","61,037.8","15,425.8"
"49","6,015.03","18,847.9","56,552.1","77,081.8","17,681"
"50","35,537.2","357,560","681,840","790,526","123,959"
"51","25,112.1","275,149","523,523","382,309","44,047.1"
"52","12,929","53,401","99,143.5","156,982","51,300.4"
"53","27,835.5","270,269","480,840","625,396","104,196"
"54","43,512.5","360,649","637,615","757,427","94,218.7"
"55","6,742.03","20,015.4","29,160.5","77,822.7","11,710.1"
"56","52,861.4","609,122","1035351","1184489","142,690"
"57","","7,769.21","22,406.1","13,944.9","1,277.7"
"58","33,631.8","639,914","1202539","1394356","154,673"
"59","24,828.7","406,325","826,425","1058955","113,811"
"60","14,488.5","152,817","267,055","361,589","63,817.6"
"61","42,416.3","443,575","711,953","887,372","136,646"
"62","9,513.54","82,871.4","159,676","192,023","37,892.4"
"63","4,495.61","89,609.9","138,479","209,082","28,372.8"
"64","101,702","479,740","864,440","1929472","499,499"
"65","231,601","1411660","3111332","4469437","606,840"
"66","16,359.9","187,554","303,156","424,468","94,942.4"
"67","129,737","870,252","824,160","862,232","84,056.9"
"68","80,656.2","475,111","915,767","1370017","262,217"
"69","5506907","7302766","8985979","1.36e+07","3589539"
"70","259,148","1714671","2389468","3136352","1114315"
"71","14,613.4","68,608.9","143,007","150,739","39,904.4"
"72","3095157","2244930","3296327","5963030","2720470"
"73","786,046","4026926","5904905","7470997","1947682"
"74","256,128","253,261","285,907","408,777","136,779"
"75","162,803","404,775","625,516","820,197","215,077"
"76","382,128","597,962","859,004","1329185","460,872"
"78","89,330","620,729","1390495","2124977","451,190"
"79","76,520","646,395","1352555","2214628","470,346"
"110","291,627","1172435","1719392","2061804","557,003"
"111","602,553","2550587","3643781","5136440","1239146"

". table bea67 age_r [pw = perwt] if sex == 1, cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"0","45,469.7","1285953","1535271","393,736","1,275.76"
"1","301,695","281,842","609,266","1400185","938,947"
"2","396,760","440,457","1050901","2045862","1210840"
"3","17,875.4","32,805.7","77,334.4","87,876","32,999"
"4","40,530.1","35,136.2","113,528","189,571","117,362"
"5","1,170.37","41,037.3","70,291.8","130,118","12,899.2"
"6","3,718.36","20,958.6","61,138.5","158,137","20,706.2"
"7","1,196.07","35,126.4","58,735.3","159,638","24,654"
"8","9,781.32","52,985.1","170,697","218,431","29,565.3"
"9","3,189.44","39,591","80,842.5","108,249","13,587.7"
"10","1,201.66","6,609.14","39,403","68,768.4","17,194.7"
"11","205,532","993,764","2126148","3022986","650,138"
"12","205,308","972,994","2224230","2958016","651,795"
"13","10,443.9","58,670.2","152,547","180,011","31,159.2"
"14","283,683","730,236","1454800","1980731","365,309"
"15","8,504.75","13,888.6","37,282","38,014.7","8,193.39"
"16","93,374.4","231,710","377,874","497,447","135,739"
"17","15,295.1","82,255.4","104,434","185,493","48,482.8"
"18","98,690.4","307,215","536,093","754,174","240,247"
"19","10,285","31,655.7","49,839.2","48,434.9","21,031.9"
"20","50,790.1","276,597","501,932","709,261","170,951"
"21","16,775.5","49,120.5","74,816.3","129,146","40,581.1"
"22","16,751.7","35,765.5","121,567","154,218","35,653.1"
"23","44,784.9","204,384","338,927","417,374","93,160.5"
"24","24,523","206,482","460,765","543,296","85,089.7"
"25","20,897.1","124,525","263,835","266,107","30,786.3"
"26","584,774","366,718","719,419","868,604","263,809"
"27","37,037.6","252,020","824,799","887,007","110,724"
"28","","24,295.3","81,681.2","108,347","10,734.9"
"29","14,295.6","94,421","199,258","282,218","59,703.1"
"30","2,364.75","19,464.1","80,720.9","59,926.6","15,818"
"31","17,183.2","86,811.5","258,615","394,321","95,884.2"
"32","24,078.9","219,736","368,891","462,872","71,976"
"33","2,293.73","17,859","17,466.7","51,552.4","10,244.9"
"34","27,948.6","71,507.2","100,901","140,541","51,150.1"
"35","4,016.14","59,375.1","197,825","167,405","23,799.1"
"36","28,842.5","208,535","352,066","515,286","85,441.4"
"37","31,521.2","367,566","716,932","1245171","200,913"
"38","16,132","173,530","349,019","501,365","91,811.7"
"39","19,221.1","196,545","377,264","518,631","72,727"
"40","38,172.9","220,420","413,306","527,569","96,923"
"41","11,510.1","79,184.9","195,521","296,187","38,714.3"
"42","9,179.98","47,498.7","111,971","157,795","34,767.6"
"43","6,130.55","40,506.5","74,584.1","123,428","21,674.8"
"44","30,470.2","123,567","281,843","359,206","60,162.9"
"45","10,649.3","67,690.5","149,143","187,482","29,295.4"
"46","12,357","58,734.5","155,868","221,377","47,492.2"
"47","26,257.6","141,854","258,559","392,037","62,025.4"
"48","3,792.28","11,422","43,646.1","49,805.4","13,914.9"
"49","6,015.03","14,887.7","45,355.5","61,761.3","16,251.2"
"50","23,037.6","268,716","569,536","654,407","105,503"
"51","13,248.9","167,600","451,295","267,293","30,233"
"52","11,787.8","49,554.1","89,164.4","141,130","46,195.4"
"53","24,066.5","177,056","357,389","453,803","93,858.5"
"54","26,812.2","186,090","430,239","459,262","70,226.5"
"55","6,742.03","8,737.9","22,776.6","65,624.7","10,597.2"
"56","15,264","270,612","586,623","621,925","89,083.2"
"57","","6,567.07","20,085.8","11,510.4","1,277.7"
"58","32,329","592,777","1095683","1224340","136,394"
"59","15,606.4","304,845","693,254","867,977","102,614"
"60","11,784.5","137,031","225,695","327,792","61,490.2"
"61","26,768","335,547","572,816","707,947","116,902"
"62","2,489.5","43,104.9","104,522","102,624","17,773.9"
"63","2,772.56","47,308.7","108,749","137,237","22,302.8"
"64","62,658.9","308,891","639,371","1528028","419,502"
"65","184,010","974,063","2594078","3902563","516,156"
"66","7,889.21","141,050","257,668","369,042","79,273"
"67","18,783.7","279,231","456,569","441,501","37,922.2"
"68","66,076.3","357,904","790,196","1212274","237,978"
"69","3505752","3614628","4813961","6726318","2133230"
"70","80,647","545,411","1461531","1866855","811,546"
"71","7,816.73","34,752.9","93,825.2","104,190","33,277.2"
"72","696,555","618,629","1028856","1583284","805,334"
"73","353,698","1349265","2741951","2853627","807,331"
"74","116,890","107,053","107,519","150,175","83,763.5"
"75","156,579","373,217","581,591","759,745","202,661"
"76","215,779","228,200","363,708","613,502","292,505"
"78","52,668.4","273,098","1000501","1455425","311,375"
"79","35,888.7","286,189","940,299","1498247","333,126"
"110","190,076","551,684","943,751","981,395","296,412"
"111","149,237","437,601","1162880","1367147","478,008"

". table bea67 age_r [pw = perwt] if sex == 2, cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"0","1,170","1,170","3,510","3,510",""
"1","58,706","41,388.9","82,484.4","145,521","47,675.3"
"2","59,539.2","94,475.3","113,877","198,392","82,203.1"
"3","","6,509.38","4,877.1","11,051","2,947.06"
"4","10,710.4","5,865.77","7,186.7","17,966.5","9,888.24"
"5","1,209.49","6,322.57","3,665.2","11,892.2","2,548.32"
"6","","4,288.72","4,839.35","5,717.5","2,552.65"
"7","","7,995.15","1,277.11","4,939.91","2,856.4"
"8","","14,534.2","42,084.2","20,865.5","2,758.98"
"9","4,724.98","12,905","13,829.2","19,213.4","3,613.85"
"10","","2,725.53","","","1,453.92"
"11","11,714.9","77,456","103,069","141,034","20,457.8"
"12","12,336.6","68,772.7","94,734.2","135,631","16,309.5"
"13","9,099.54","31,930.5","40,491.7","65,394.9","8,052.39"
"14","67,713.5","307,692","416,875","757,203","123,031"
"15","","8,043.63","28,379.4","41,263.2","16,825.5"
"16","36,054.9","263,294","470,527","623,292","100,125"
"17","7,723.34","29,827.9","42,384.4","82,741","10,751.4"
"18","89,368.7","587,654","944,100","1613314","259,176"
"19","7,411","37,171.7","97,075.2","147,652","40,753.6"
"20","6,360.17","27,463.6","34,734.7","43,449.2","4,747.69"
"21","4,967.14","14,362.2","24,060.8","45,907.7","4,070.91"
"22","1,137.36","21,304.4","16,192.9","26,995.7","1,218.65"
"23","6,883.29","66,244.1","126,877","147,429","8,904.96"
"24","5,800.29","62,790.8","81,954.6","136,856","14,495.2"
"25","7,729.66","51,071.3","78,814.2","130,473","16,581.2"
"26","66,224.6","313,750","306,994","450,952","106,650"
"27","12,618.5","89,270.9","150,151","150,034","21,791.3"
"28","2,463.54","43,749.2","57,669.8","88,994.1","13,205.4"
"29","4,914.39","60,413.5","58,439.4","93,531","15,666.4"
"30","1,222.79","13,907.7","22,167.3","16,870.2","1,232.51"
"31","1,997.46","60,097.1","38,335.4","62,904.6","12,331.8"
"32","17,297","124,186","194,947","254,127","27,316.2"
"33","","1,358.03","","15,390","1,067.93"
"34","23,515","139,829","142,137","266,744","43,979.4"
"35","5,482.36","30,658","55,425.4","62,321.3","2,656.63"
"36","5,319.89","30,776.2","43,961.4","91,864.6","22,391.1"
"37","3,871.19","52,007.4","32,719.3","49,998.8","4,951.57"
"38","4,015.83","52,652.3","40,427.9","91,475.3","7,799.94"
"39","7,410.96","68,711.5","90,843.6","113,723","14,243.5"
"40","5,278.73","36,184.8","54,454.1","39,516.5","5,018.65"
"41","2,624.08","35,547.4","70,001.6","113,137","6,969.81"
"42","6,284.13","41,403.5","53,430.8","95,626.9","15,241.8"
"43","","23,854","12,593.3","19,377.7","2,437.45"
"44","2,332.88","59,636.2","41,043.7","67,092.2","11,437.8"
"45","1,265.13","21,681.1","28,426","22,209.8","10,769.4"
"46","6,153.67","24,062.5","20,261.3","26,496.1","5,086.24"
"47","2,309.24","30,952.8","29,459","56,060.7","7,903.99"
"48","1,147.46","12,715.7","2,543.23","11,232.4","1,510.95"
"49","","3,960.26","11,196.6","15,320.5","1,429.79"
"50","12,499.6","88,844.1","112,304","136,119","18,456.7"
"51","11,863.2","107,549","72,228.6","115,016","13,814.1"
"52","1,141.15","3,846.9","9,979.05","15,851.8","5,105"
"53","3,768.97","93,213.1","123,451","171,593","10,337.1"
"54","16,700.3","174,559","207,377","298,165","23,992.2"
"55","","11,277.5","6,383.88","12,198","1,112.91"
"56","37,597.5","338,510","448,728","562,563","53,606.8"
"57","","1,202.14","2,320.27","2,434.57",""
"58","1,302.83","47,137.2","106,856","170,017","18,279.6"
"59","9,222.24","101,480","133,171","190,978","11,197.8"
"60","2,703.94","15,785.1","41,360.3","33,797.2","2,327.41"
"61","15,648.2","108,028","139,137","179,426","19,744.3"
"62","7,024.04","39,766.5","55,154.3","89,398.7","20,118.5"
"63","1,723.05","42,301.3","29,729.6","71,845.6","6,070.04"
"64","39,043.5","170,849","225,069","401,444","79,997.5"
"65","47,591.3","437,597","517,253","566,874","90,683.4"
"66","8,470.67","46,504.2","45,487.6","55,426.6","15,669.4"
"67","110,954","591,021","367,591","420,731","46,134.7"
"68","14,579.9","117,207","125,571","157,744","24,239.3"
"69","2001155","3688138","4172018","6877976","1456309"
"70","178,501","1169259","927,937","1269498","302,769"
"71","6,796.71","33,856","49,181.9","46,548.7","6,627.14"
"72","2398602","1626301","2267471","4379746","1915135"
"73","432,348","2677661","3162954","4617369","1140351"
"74","139,238","146,208","178,388","258,602","53,015.4"
"75","6,224.24","31,558","43,924.8","60,452.1","12,416.3"
"76","166,349","369,762","495,297","715,683","168,367"
"78","36,661.6","347,632","389,994","669,553","139,815"
"79","40,631.3","360,206","412,256","716,381","137,220"
"110","101,552","620,750","775,641","1080410","260,591"
"111","453,317","2112986","2480902","3769293","761,138"

". table bea67 educ_r [pw = perwt], cellwidth(10)"
